mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2
RFM,NONE,False,128,0,0.0,Mix41,3.411411711062437,1.4561631193926343,0.07580208324892455,0,399738,0,0,0,0,0,93972811.6931875,100000001,100000000,100000001
RFM,NONE,False,64,0,0.0,Mix41,3.274374006002386,1.2286735748756503,0.05397600585983803,0,956098,0,0,0,0,0,124237473.70049998,100000001,100000000,100000002
TWiCe-Ideal,NONE,False,4096,0,0.0,Mix41,3.5876605931041503,1.8415577486544015,0.11468376442549,13392,0,0,0,0,0,0,68338648.6755625,100000001,100000000,100000001
TWiCe-Ideal,NONE,False,2048,0,0.0,Mix41,3.585891146474293,1.8374421878674023,0.11531718162310856,26568,0,0,0,0,0,0,67897266.45325,100000001,100000000,100000001
TWiCe-Ideal,NONE,False,1024,0,0.0,Mix41,3.5656892482596496,1.839069061769677,0.11415399580727446,53352,0,0,0,0,0,0,68419950.2641875,100000001,100000000,100000001
TWiCe-Ideal,NONE,False,512,0,0.0,Mix41,3.5418291613596784,1.805785918661985,0.11253543951958982,106976,0,0,0,0,0,0,69099180.510875,100000001,100000000,100000001
TWiCe-Ideal,NONE,False,256,0,0.0,Mix41,3.5128978326017783,1.7704440790719984,0.10979785306730526,224462,0,0,0,0,0,0,70151536.9085,100000001,100000000,100000003
TWiCe-Ideal,NONE,False,128,0,0.0,Mix41,3.424735797903329,1.6884612969466322,0.10551712761947807,481724,0,0,0,0,0,0,71582758.40575,100000001,100000000,100000002
TWiCe-Ideal,NONE,False,64,0,0.0,Mix41,3.325607094557451,1.5728427930259208,0.0969813695297804,955271,0,0,0,0,0,0,75382848.21812502,100000001,100000000,100000000
BlockHammer,NONE,False,4096,0,0.0,Mix41,3.8339823179037658,2.812678666622676,0.018461946333333333,0,0,0,0,0,0,0,134727778.18312502,100000001,100000000,55385839
BlockHammer,NONE,False,2048,0,0.0,Mix41,3.846471514397747,2.8574730177395353,0.009120407333333334,0,0,0,0,0,0,0,133294899.6530625,100000001,100000000,27361222
BlockHammer,NONE,False,1024,0,0.0,Mix41,3.8514080940421414,2.907113226391297,0.004485034,0,0,0,0,0,0,0,132591064.53299999,100000001,100000000,13455102
BlockHammer,NONE,False,512,0,0.0,Mix41,3.873876236938355,3.0415504072042894,0.002410615666666667,0,0,0,0,0,0,0,132282060.01468751,100000001,100000000,7231847
BlockHammer,NONE,False,256,0,0.0,Mix41,3.889449743214641,3.1006392463908714,0.001172115,0,0,0,0,0,0,0,131671177.5461875,100000001,100000000,3516345
BlockHammer,NONE,False,128,0,0.0,Mix41,3.3840188627916743,2.0376682538336386,0.0002527403333333333,0,0,0,0,0,0,0,131338330.25700001,100000001,100000000,758221
BlockHammer,NONE,False,64,0,0.0,Mix41,0.020172305,0.8245104802949993,0.00010310566666666666,0,0,0,0,0,0,0,130421533.81774999,60516915,100000000,309317
AQUA,MEAN,False,4096,32,0.65,Mix12,1.841994473979904,1.3738898695409174,3.636128580486687,0,0,0,0,0,545,43,5355115.213187501,100000003,100000003,100000001
AQUA,MEAN,False,2048,32,0.65,Mix12,1.7682715404378402,1.3180560145319362,3.451583823075681,0,0,0,0,0,985,71,6315182.141562501,100000003,100000003,100000001
AQUA,MEAN,False,1024,32,0.65,Mix12,1.5679719013171827,1.176346761135151,3.186303007535447,0,0,0,0,0,1936,179,8161342.388687501,100000003,100000003,100000001
AQUA,MEAN,False,512,32,0.65,Mix12,1.274744501373824,0.9410909459063858,2.776430542634742,0,0,0,0,0,3825,608,11140729.9766875,100000003,100000003,100000001
AQUA,MEAN,False,256,32,0.65,Mix12,0.902694174633928,0.6505569619656958,2.3452766702925425,0,0,0,0,0,7524,1992,15989115.224125002,100000003,100000003,100000001
AQUA,MEAN,False,128,32,0.65,Mix12,0.5461314162431832,0.39097222712838053,2.0137389148456477,0,0,0,0,0,14427,5998,25236322.160375,100000003,100000003,100000001
AQUA,MEAN,False,64,32,0.65,Mix12,0.30519856387355127,0.2247835773105361,1.7733458181606605,0,0,0,0,0,26000,14710,44461722.56631251,100000003,100000003,100000001
Graphene,MEAN,False,4096,32,0.65,Mix12,1.9782807921423797,1.4833165313130483,3.852669934912224,576,0,0,0,0,0,0,4391826.8665,100000003,100000003,100000001
Graphene,MEAN,False,2048,32,0.65,Mix12,2.0167740538314893,1.5112016686930116,3.8664511171743077,1080,0,0,0,0,0,0,4284564.9500625,100000003,100000003,100000001
Graphene,MEAN,False,1024,32,0.65,Mix12,2.041472783749142,1.5226503830379188,3.873722572204445,2160,0,0,0,0,0,0,4239046.79225,100000003,100000003,100000001
Graphene,MEAN,False,512,32,0.65,Mix12,2.043799083110883,1.5237263537485435,3.873061982740474,4255,0,0,0,0,0,0,4223997.237937501,100000003,100000003,100000001
Graphene,MEAN,False,256,32,0.65,Mix12,2.031223086929663,1.5061945411655608,3.871939962319055,8748,0,0,0,0,0,0,4260945.294125,100000003,100000003,100000001
Graphene,MEAN,False,128,32,0.65,Mix12,1.9992176861507018,1.4683401642473513,3.8581311560098976,17592,0,0,0,0,0,0,4348334.404625,100000003,100000003,100000001
Graphene,MEAN,False,64,32,0.65,Mix12,1.9142582506968808,1.3953254116433094,3.833405452467191,35617,0,0,0,0,0,0,4534069.610875,100000003,100000003,100000001
Hydra,MEAN,False,4096,32,0.65,Mix12,2.0497001227319402,1.5304954031342373,3.879564394754984,560,0,0,0,0,0,0,4221198.1151250005,100000003,100000003,100000001
Hydra,MEAN,False,2048,32,0.65,Mix12,2.0660320133303687,1.5359854107194912,3.8764387111399623,1080,0,0,0,0,0,0,4198396.3031875,100000003,100000003,100000001
Hydra,MEAN,False,1024,32,0.65,Mix12,2.062470263046831,1.5358466285172614,3.879978643045771,2144,0,0,0,0,0,0,4191980.9850625005,100000003,100000003,100000001
Hydra,MEAN,False,512,32,0.65,Mix12,2.059839467651808,1.5212650639084955,3.8777282871938605,4309,0,0,0,0,0,0,4224083.657375,100000003,100000003,100000001
Hydra,MEAN,False,256,32,0.65,Mix12,2.0344326701883237,1.5016555226060642,3.8762312024592362,8723,0,0,0,0,0,0,4265539.164562501,100000003,100000003,100000001
Hydra,MEAN,False,128,32,0.65,Mix12,1.986548464917565,1.465233969725454,3.8628883627205783,17453,0,0,0,0,0,0,4342413.0321875,100000003,100000003,100000001
Hydra,MEAN,False,64,32,0.65,Mix12,1.913825657951711,1.3932648658848854,3.850503324312759,35026,0,0,0,0,0,0,4513139.2123125,100000003,100000003,100000001
PARA,MEAN,False,4096,32,0.65,Mix12,2.026132098743545,1.4927980631363695,3.88202905892823,10764,0,0,0,0,0,0,4265419.891562501,100000003,100000003,100000001
PARA,MEAN,False,2048,32,0.65,Mix12,1.9926499316092674,1.4475883569545487,3.8726232646291248,21042,0,0,0,0,0,0,4352722.6422500005,100000003,100000003,100000001
PARA,MEAN,False,1024,32,0.65,Mix12,1.9065769141798088,1.3707996489601533,3.857661734684765,40640,0,0,0,0,0,0,4521937.396562501,100000003,100000003,100000001
PARA,MEAN,False,512,32,0.65,Mix12,1.7909280185755048,1.2525261322034278,3.84027501437991,76634,0,0,0,0,0,0,4841021.3303125,100000003,100000003,100000001
PARA,MEAN,False,256,32,0.65,Mix12,1.616490370615646,1.0786948422757798,3.813740755254143,143460,0,0,0,0,0,0,5484428.109000001,100000003,100000003,100000001
PARA,MEAN,False,128,32,0.65,Mix12,1.389269185108763,0.8484207682945304,3.7749469157532647,272247,0,0,0,0,0,0,6810345.291562501,100000003,100000003,100000001
PARA,MEAN,False,64,32,0.65,Mix12,1.1034435116497259,0.606854187234598,3.674479651430045,519577,0,0,0,0,0,0,9342638.427875001,100000003,100000003,100000001
REGA,MEAN,False,4096,32,0.65,Mix12,2.083012872227619,1.542133404250906,3.8879779097538907,0,0,0,0,0,0,0,4177434.9559375,100000003,100000003,100000001
REGA,MEAN,False,2048,32,0.65,Mix12,2.0842265303229626,1.54306533190285,3.887469159249667,0,0,0,0,0,0,0,4174032.7435000003,100000003,100000003,100000001
REGA,MEAN,False,1024,32,0.65,Mix12,2.078468998949916,1.5456726946663413,3.8849999996115,0,0,0,0,0,0,0,4167593.9230625005,100000003,100000003,100000001
REGA,MEAN,False,512,32,0.65,Mix12,2.082932474726375,1.5459480879614136,3.887027171330283,0,0,0,0,0,0,0,4167182.5206875,100000003,100000003,100000001
REGA,MEAN,False,256,32,0.65,Mix12,2.037167156180943,1.4774030399250875,3.8779812222721923,0,0,0,0,0,0,0,4451126.01025,100000003,100000003,100000001
REGA,MEAN,False,128,32,0.65,Mix12,1.9191895147770872,1.3578186085287136,3.863507721123516,0,0,0,0,0,0,0,4881315.683125001,100000003,100000003,100000001
REGA,MEAN,False,64,32,0.65,Mix12,1.6251157041718767,1.179512628227468,3.8397107023756174,0,0,0,0,0,0,0,5366866.0385625,100000003,100000003,100000001
RFM,MEAN,False,4096,32,0.65,Mix12,2.032034060953908,1.5105907894720345,3.8787072780760807,0,2533,0,0,0,0,0,4255974.877375,100000003,100000003,100000001
RFM,MEAN,False,2048,32,0.65,Mix12,2.032034060953908,1.5105907894720345,3.8787072780760807,0,2533,0,0,0,0,0,4255974.877375,100000003,100000003,100000001
RFM,MEAN,False,1024,32,0.65,Mix12,2.032034060953908,1.5105907894720345,3.8787072780760807,0,2533,0,0,0,0,0,4255974.877375,100000003,100000003,100000001
RFM,MEAN,False,512,32,0.65,Mix12,2.0303041358958858,1.5040448954981365,3.872851685621887,0,3411,0,0,0,0,0,4269024.9634375,100000003,100000003,100000001
RFM,MEAN,False,256,32,0.65,Mix12,1.9936158243012072,1.4539655615472182,3.86629116473992,0,8011,0,0,0,0,0,4394524.647125,100000003,100000003,100000001
RFM,MEAN,False,128,32,0.65,Mix12,1.896286572279511,1.35794793595179,3.85392710736297,0,17732,0,0,0,0,0,4675363.7385625,100000003,100000003,100000001
RFM,MEAN,False,64,32,0.65,Mix12,1.7313164086425303,1.1600334409790198,3.8521558397333693,0,42531,0,0,0,0,0,5484362.5419375,100000003,100000003,100000001
TWiCe-Ideal,MEAN,False,4096,32,0.65,Mix12,1.9751660991191649,1.4849491351478303,3.852669934912224,576,0,0,0,0,0,0,4387324.2415000005,100000003,100000003,100000001
TWiCe-Ideal,MEAN,False,2048,32,0.65,Mix12,2.0167740538314893,1.5112016686930116,3.8664511171743077,1080,0,0,0,0,0,0,4284564.9500625,100000003,100000003,100000001
TWiCe-Ideal,MEAN,False,1024,32,0.65,Mix12,2.041472783749142,1.5226503830379188,3.873722572204445,2160,0,0,0,0,0,0,4239046.79225,100000003,100000003,100000001
TWiCe-Ideal,MEAN,False,512,32,0.65,Mix12,2.043799083110883,1.5237263537485435,3.873061982740474,4255,0,0,0,0,0,0,4223997.237937501,100000003,100000003,100000001
TWiCe-Ideal,MEAN,False,256,32,0.65,Mix12,2.0315250215006446,1.5060028443272466,3.871939962319055,8721,0,0,0,0,0,0,4261367.401125001,100000003,100000003,100000001
TWiCe-Ideal,MEAN,False,128,32,0.65,Mix12,1.9921877356384485,1.4692126858225256,3.859514633619753,17584,0,0,0,0,0,0,4345788.0071250005,100000003,100000003,100000001
TWiCe-Ideal,MEAN,False,64,32,0.65,Mix12,1.9118031511179785,1.398077347312727,3.833905147500681,35514,0,0,0,0,0,0,4525556.1264375,100000003,100000003,100000001
Dummy,NONE,False,0,0,0.0,Mix12,1.2963158975523132,0.7970486612061715,3.771011121579019,0,0,0,0,0,0,0,9541854.248625001,100000003,100000003,100000001
