,mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,aipc_0,aipc_1,aipc_2,aipc_3,soa_0,aos_0,soa_1,aos_1,soa_2,aos_2,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
3967,TWiCe-Ideal,MEAN,False,512,32,0.65,Mix2,0.4301873437489662,0.2428486472137019,0.1993510394107272,18729,0,0,0,0,0,0,34656896.0165625,100000000,100000002,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.35260408875346516,2.8360419856026775,0.5503895269948793,1.8168950369749743,0.4905427298915328,2.0385583947419152,1.3935363456398773,0.4483302778979888,0.6473959112465348,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.6648660333534493,1.627325174489507,0.8518223810493897,0.5353190519580423
3968,TWiCe-Ideal,MEAN,False,256,32,0.65,Mix2,0.4242996188024336,0.237053827893298,0.1950611416222497,55670,0,0,0,0,0,0,35205121.5169375,100000000,100000000,100000000,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.3477782008704998,2.8753958629292127,0.5372562116506466,1.8613093312176625,0.47998658642553504,2.0833915535994665,1.3650209989466815,0.4398764579096816,0.6522217991295002,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.6307985816595358,1.5966399525319903,0.8581721266003459,0.5437870796481078
3969,TWiCe-Ideal,MEAN,False,128,32,0.65,Mix2,0.4100233891281954,0.2254133727274151,0.1867492008735657,130788,0,0,0,0,0,0,36349939.24175,100000000,100000002,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.3360766549550593,2.9755116437162874,0.5108744109436508,1.957428241811664,0.45953340936857756,2.176120342096674,1.3064844752672875,0.42199670616694157,0.6639233450449407,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.560864654001794,1.5317409895152567,0.8735686382719396,0.5614702195005202
3970,TWiCe-Ideal,MEAN,False,64,32,0.65,Mix2,0.3941446128566567,0.2059893147082522,0.1728968136749704,284251,0,0,0,0,0,0,38550481.1426875,100000000,100000002,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.32306157787502954,3.0953851169105344,0.4668519375712525,2.142006746726582,0.4254468660929581,2.350469775893248,1.2153603815392402,0.39536830565952163,0.6769384221249705,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.45199816555848,1.4350866508761575,0.8906934513195006,0.5954603380512655
3971,Dummy,NONE,False,0,0,0.0,Mix2,0.2927914344779352,0.1393563011488664,0.1142778572912942,0,0,0,0,0,0,0,64740636.24262501,100000000,100000000,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.23998720196928233,4.166888866548796,0.3158356019401083,3.1662041703253876,0.2812033097370945,3.5561459107111157,0.8370261136464852,0.2755013471961007,0.7600127980307176,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.0,1.0,1.0,1.0
3972,AQUA,NONE,False,4096,0,0.0,Mix2,0.2361167963444511,0.104200563435579,0.0764254104692588,0,0,0,0,0,9237,6976,96042488.96018752,100000000,100000000,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.19353369880404056,5.167058792239247,0.2361590211842548,4.234434894696591,0.18805986462618757,5.317455704797677,0.6177525846144829,0.20381889496032007,0.8119401353738125,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,0.7380326306944689,0.7398108830852382,1.0683242933245922,1.4834962171248092
3973,AQUA,NONE,False,2048,0,0.0,Mix2,0.2088942548809505,0.0922245902350637,0.0678366714143359,0,0,0,0,0,18088,14295,106231776.4819375,100000000,100000002,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.1712206773593828,5.840416095896262,0.20901680606071482,4.784304280821906,0.16692557049468082,5.990693918472278,0.5471630539147785,0.1805552330325215,0.8330744295053192,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,0.6536989049613698,0.6553696919093577,1.0961321068065075,1.6408824912350006
3974,AQUA,NONE,False,1024,0,0.0,Mix2,0.1689756913260215,0.0807267143320878,0.0580540151503329,0,0,0,0,0,33102,27336,123562976.96843752,100000000,100000002,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.1385013309370327,7.220147223383963,0.1829581454410576,5.465730960429763,0.14285340651941586,7.000183085337103,0.46431288289750616,0.15239208894981798,0.8614986690629673,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,0.5547173204366799,0.5531446234320805,1.1335317922214092,1.9085845326784738
3975,AQUA,NONE,False,512,0,0.0,Mix2,0.1195391572313453,0.0594064663001133,0.0428831079048421,0,0,0,0,0,66061,58234,165759816.37831253,100000000,100000000,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.09798055711864953,10.206106490995456,0.1346381676920941,7.427314387454484,0.10552238343003319,9.47666236768668,0.3381411082407768,0.11065993316075566,0.9020194428813505,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,0.4039791623318331,0.40166748470376223,1.186847702063161,2.5603674291538217
3976,AQUA,NONE,False,256,0,0.0,Mix2,0.0865775615136475,0.0399796540985663,0.027738504,0,0,0,0,0,115871,101814,260521712.16452408,100000000,100000002,83215512,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.0709635060808088,14.091750185810472,0.09060945227076099,11.03637617201106,0.06825608492179754,14.650708448129153,0.22982904327336734,0.07541699033253778,0.9317439150782024,83215512,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,0.27457810398784616,0.2737445428129115,1.2259581910889663,4.024083285004813
