mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,core_id,pN_key,pN_val
Dummy,NONE,False,0,0,0.0,519.lbm,0,82,424
Dummy,NONE,False,0,0,0.0,519.lbm,0,83,429
Dummy,NONE,False,0,0,0.0,519.lbm,0,84,434
Dummy,NONE,False,0,0,0.0,519.lbm,0,85,444
Dummy,NONE,False,0,0,0.0,519.lbm,0,86,449
Dummy,NONE,False,0,0,0.0,519.lbm,0,87,459
Dummy,NONE,False,0,0,0.0,519.lbm,0,88,469
Dummy,NONE,False,0,0,0.0,519.lbm,0,89,479
Dummy,NONE,False,0,0,0.0,519.lbm,0,90,489
Dummy,NONE,False,0,0,0.0,519.lbm,0,91,504
Dummy,NONE,False,0,0,0.0,519.lbm,0,92,519
Dummy,NONE,False,0,0,0.0,519.lbm,0,93,549
Dummy,NONE,False,0,0,0.0,519.lbm,0,94,589
Dummy,NONE,False,0,0,0.0,519.lbm,0,95,629
Dummy,NONE,False,0,0,0.0,519.lbm,0,96,679
Dummy,NONE,False,0,0,0.0,519.lbm,0,97,839
Dummy,NONE,False,0,0,0.0,519.lbm,0,98,1544
Dummy,NONE,False,0,0,0.0,519.lbm,0,99,1799
Dummy,NONE,False,0,0,0.0,519.lbm,0,100,4829
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,0,4
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,1,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,2,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,3,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,4,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,5,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,6,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,7,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,8,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,9,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,10,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,11,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,12,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,13,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,14,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,15,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,16,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,17,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,18,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,19,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,20,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,21,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,22,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,23,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,24,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,25,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,26,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,27,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,28,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,29,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,30,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,31,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,32,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,33,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,34,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,35,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,36,49
Dummy,NONE,False,0,0,0.0,520.omnetpp,0,37,49
