,mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3,aipc_0,aipc_1,aipc_2,aipc_3,soa_0,aos_0,soa_1,aos_1,soa_2,aos_2,soa_3,aos_3,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
62,Hydra,NONE,False,512,0,0.0,Mix6,0.3118802,0.2779649,1.0597278,0.2762971,0,0,0,0,0,0,0,25135482.38472283,3118802,2779649,10597278,2762971,0.5419678,0.4320961,1.432896,0.4320961,0.5754589110275555,1.7377435310096634,0.6432941653488657,1.554498787436831,0.7395706317834652,1.3521358975389717,0.6394343758251927,1.5638821399138825,2.597758083985079,0.6443028756355286,0.42454108897244447,2762971,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,1.003773695857439,1.0039822723993346,1.004630895047309,0.9900539697393319
63,Hydra,NONE,False,64,0,0.0,Mix6,0.2684342,0.2307114,1.0021784,0.2278436,2433,0,0,0,0,0,0,28896515.688283544,2684342,2307114,10021784,2278436,0.5419678,0.4320961,1.432896,0.4320961,0.4952954769637606,2.0189968342334916,0.5339353907614534,1.8728857785094277,0.6994076332127385,1.4297813642760608,0.5272984412495276,1.8964592378280538,2.25593694218748,0.5541606704319424,0.5047045230362395,2278436,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,0.8716940103241203,0.8635185565884826,1.1943290529064263,1.1381961814350705
64,BlockHammer,NONE,False,512,0,0.0,Mix6,0.3121488,0.2745266,1.0635774,0.2748411,0,0,0,0,0,0,0,25258170.517447125,3121488,2745266,10635774,2748411,0.5419678,0.4320961,1.432896,0.4320961,0.575954512426753,1.7362482252054148,0.6353369076925249,1.5739680599257047,0.7422572189468043,1.3472418650490317,0.6360647550394462,1.572166972115888,2.5896133941055286,0.6420932113047806,0.424045487573247,2745266,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,1.0006265877751237,1.0005390721593297,1.003458107559371,0.9948864957670569
65,BlockHammer,NONE,False,64,0,0.0,Mix6,0.0002402,0.0004013,0.0070898,0.0003735,0,0,0,0,0,0,0,18110484606.57785,2402,4013,70898,3735,0.5419678,0.4320961,1.432896,0.4320961,0.0004431997620522843,2256.318900915903,0.0009287285860714781,1076.7408422626463,0.004947881772298897,202.1066884820446,0.0008643910463436259,1156.8838018741633,0.007184201166766285,0.000852505791905514,0.9995568002379477,2402,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,0.0027759752539720088,0.0013284135994995326,2.3653438240906097,713.3484412275855
66,Graphene,MEAN,False,512,32,0.65,Mix8,0.4011256,0.4199498,0.3517374,0.5685264,0,0,0,0,0,0,0,19512757.03834736,4011256,4199498,3517374,5685264,0.9951966,0.4868758,0.828172,1.0118551,0.4030616664084263,2.481009938034371,0.8625398921038999,1.159366667158789,0.424715397284622,2.3545178874922033,0.5618654291508735,1.7797856001058174,2.2521823849478215,0.5144906224127305,0.5969383335915737,3517374,2.2521823849478215,0.5144906224127305,0.5969383335915737,19512757.03834736,1.0,1.0,1.0,1.0
67,Graphene,MEAN,False,64,32,0.65,Mix8,0.3882556,0.3852304,0.3354935,0.5116094,1702,0,0,0,0,0,0,20108245.193274982,3882556,3852304,3354935,5116094,0.9951966,0.4868758,0.828172,1.0118551,0.3901295482721705,2.5632511160173865,0.79122930324325,1.2638561235042718,0.4051012350091527,2.468518764148933,0.5056152802906266,1.9777883283614415,2.0920753668152,0.48347633026346454,0.6098704517278295,3354935,2.2521823849478215,0.5144906224127305,0.5969383335915737,19512757.03834736,0.9289102786689583,0.9397184500587731,1.0216640771894272,1.0305178890793003
68,Hydra,MEAN,False,512,32,0.65,Mix8,0.4024095,0.4197218,0.350545,0.5697783,0,0,0,0,0,0,0,19569130.343465175,4024095,4197218,3505450,5697783,0.9951966,0.4868758,0.828172,1.0118551,0.40435176325964134,2.473094198819859,0.8620716001904386,1.1599964547945807,0.42327559975464035,2.362526922363748,0.5631026616360385,1.7758751079147803,2.252801624840759,0.5147016361850686,0.5956482367403586,3505450,2.2521823849478215,0.5144906224127305,0.5969383335915737,19512757.03834736,1.0002749510417435,1.0004101411437756,0.9978388105125483,1.002889048687842
69,Hydra,MEAN,False,64,32,0.65,Mix8,0.3597294,0.3565284,0.3131579,0.4815205,1757,0,0,0,0,0,0,21116776.091629814,3597294,3565284,3131579,4815205,0.9951966,0.4868758,0.828172,1.0118551,0.3614656641712803,2.7665144967300423,0.7322779238565564,1.3656017304652308,0.37813147510420536,2.6445828126960875,0.475878907958264,2.10137491550204,1.947753971090306,0.4505481729592952,0.6385343358287197,3131579,2.2521823849478215,0.5144906224127305,0.5969383335915737,19512757.03834736,0.8648295911147673,0.8757169777875177,1.0696822433682172,1.0822036091634906
70,Dummy,NONE,False,0,0,0.0,Mix8,0.4011256,0.4199498,0.3517374,0.5685264,0,0,0,0,0,0,0,19512757.03834736,4011256,4199498,3517374,5685264,0.9951966,0.4868758,0.828172,1.0118551,0.4030616664084263,2.481009938034371,0.8625398921038999,1.159366667158789,0.424715397284622,2.3545178874922033,0.5618654291508735,1.7797856001058174,2.2521823849478215,0.5144906224127305,0.5969383335915737,3517374,2.2521823849478215,0.5144906224127305,0.5969383335915737,19512757.03834736,1.0,1.0,1.0,1.0
71,Graphene,NONE,False,512,0,0.0,Mix8,0.4011256,0.4199498,0.3517374,0.5685264,0,0,0,0,0,0,0,19512757.03834736,4011256,4199498,3517374,5685264,0.9951966,0.4868758,0.828172,1.0118551,0.4030616664084263,2.481009938034371,0.8625398921038999,1.159366667158789,0.424715397284622,2.3545178874922033,0.5618654291508735,1.7797856001058174,2.2521823849478215,0.5144906224127305,0.5969383335915737,3517374,2.2521823849478215,0.5144906224127305,0.5969383335915737,19512757.03834736,1.0,1.0,1.0,1.0
